tt57611079,Ascension,Ascension,2016,43,"Action,Adventure,Drama",8.9,3046,6,writer,based on the Marvel comics by,3,22,Stan Lee,1922,2018,"producer,writer,actor"
tt57612093,Marker to a Dead Bookie,Marker to a Dead Bookie,1974,51,"Action,Crime,Drama",7.5,184,6,writer,created by,1,11,Abby Mann,1927,2008,"writer,producer,director"
tt57612398,Gone the Sun,Gone the Sun,1964,60,Drama,8.5,27,7,writer,created by,1,16,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt57612893,Missing,Missing,1989,47,"Crime,Drama,Mystery",8.1,90,6,writer,developed for television by,2,22,James Lee Barrett,1929,1989,"writer,miscellaneous,producer"
tt57613455,Incident at Bluefield,Incident at Bluefield,1959,30,Western,7.6,19,8,producer,producer,2,26,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt57614156,Langrishe Go Down,Langrishe Go Down,1978,105,"Crime,Drama,Mystery",6.6,98,7,writer,screenplay,2,1,Harold Pinter,1930,2008,"writer,actor,director"
tt57614182,Touch and Go,Touch and Go,2000,50,"Crime,Drama",8.1,35,8,writer,series deviser,16,63,Geoff McQueen,1947,1994,"writer,miscellaneous"
tt57614547,A Tough Act to Follow,A Tough Act to Follow,1982,49,"Drama,Music,Musical",6.6,29,10,cinematographer,director of photography,2,12,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt57614907,Exploding,Exploding,1989,30,Comedy,7.2,14,6,writer,by,4,4,Jim Hitchmough,1934,1997,writer
tt57615055,The Changing Face of Evil,The Changing Face Of Evil,1999,46,"Action,Adventure,Drama",8.3,1655,6,writer,"based upon ""Star Trek"" created by",7,20,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt57615109,The Love of Johnny Johnson,The Love of Johnny Johnson,1974,50,"Drama,Family,Romance",7.1,387,7,writer,"based upon the series of books ""Little House"" by",1,5,Laura Ingalls Wilder,1867,1957,writer
tt57615489,Lineage,Lineage,2001,43,"Action,Adventure,Sci-Fi",7.0,1568,6,writer,"based upon ""Star Trek"" created by",7,11,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt57615857,Coal Miners Slaughter,Coal Miners Slaughter,1988,47,"Crime,Drama,Mystery",7.4,342,7,writer,created by,5,5,Richard Levinson,1934,1987,"writer,producer,miscellaneous"
tt57615933,Desperate Mission,Desperate Mission,1967,60,Western,7.6,8,10,producer,producer,1,9,Frank Glicksman,1921,1984,"writer,producer,miscellaneous"
tt57617313,Pregnant Pause,Pregnant Pause,1979,60,"Drama,Sport",7.6,29,7,writer,written by,1,5,Steven Bochco,1943,2018,"writer,producer,miscellaneous"
tt57620775,Incident at Yuma,Incident at Yuma,1957,26,Western,5.6,18,9,producer,producer,1,6,Russell Hayden,1912,1981,"actor,producer,music_department"
tt57621559,Blood Bonds,Blood Bonds,2016,43,"Action,Adventure,Drama",7.7,2684,7,writer,based on characters created by,1,9,Joe Shuster,1914,1992,"writer,art_department,miscellaneous"
tt57622057,Dreadful Sorry Clementine,Dreadful Sorry Clementine,1971,60,Western,8.3,76,6,writer,story,2,10,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt57622675,The Eagles Brood,The Eagles Brood,1958,30,"Action,Adventure,Comedy",8.0,69,9,producer,producer,1,27,Bill Anderson,1911,1997,"producer,production_manager"
tt57622706,Power Play,Power Play,1998,43,"Action,Drama",4.3,18,6,writer,creator,1,15,William Blinn,1937,2020,"writer,producer,miscellaneous"
tt57622920,Rumpole and the Right to Silence,Rumpole and the Right to Silence,1991,51,"Crime,Drama,Mystery",7.8,60,7,producer,producer,6,3,Jacqueline Davis,1932,2021,"producer,writer"
tt57623714,The War Merchants,The War Merchants,1970,75,"Adventure,Sci-Fi",8.3,11,10,cinematographer,director of photography,3,7,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt57624242,Der Vermißte,Der Vermißte,1977,25,Crime,8.5,8,7,producer,producer,1,7,Helmut Ringelmann,1926,2011,"producer,production_manager,miscellaneous"
tt57626413,BoomerangCaptains TriangleOut of This World,BoomerangCaptains TriangleOut of This World,1980,60,"Comedy,Drama,Romance",6.4,81,10,writer,story editor,4,10,Sidney Morse,1920,2003,"writer,miscellaneous,producer"
tt57626934,Freaky,Freaky,2012,23,"Action,Adventure,Animation",8.2,295,8,writer,creator: Spider-Man,1,10,Stan Lee,1922,2018,"producer,writer,actor"
tt57626988,Kingfishs Last Friend,Kingfishs Last Friend,1951,30,Comedy,7.0,16,7,writer,creator,1,14,Freeman F. Gosden,1899,1982,"writer,actor,producer"
tt57627787,Guests Guests Who Needs Guests,Guests Guests Who Needs Guests,1965,30,"Comedy,Family",9.0,9,7,cinematographer,director of photography,7,26,Gert Andersen,1907,1982,"cinematographer,camera_department"
tt57627854,Misadventure,Misadventure,1964,60,"Crime,Drama,Horror",6.8,308,9,cinematographer,director of photography,3,8,John F. Warren,1909,2000,"cinematographer,camera_department"
tt57629261,Felix kauft ein Pferd,Felix kauft ein Pferd,1976,72,"Crime,Drama",6.4,6,7,writer,dramatisation,12,1,Käthe Riemann,1928,2000,writer
tt57629575,Immigrants,Immigrants,1982,49,"Crime,Drama",7.3,17,6,writer,created by,5,13,Allan Burns,1935,2021,"writer,producer,miscellaneous"
tt57629726,Article 32,Article 32,2000,43,"Action,Drama",7.0,8,6,writer,creator,3,13,William Blinn,1937,2020,"writer,producer,miscellaneous"
tt57631106,Trust Lust and Must,Trust Lust and Must,2006,43,"Comedy,Drama,Romance",7.7,251,6,writer,developed by,1,6,Silvio Horta,1974,2020,"writer,producer,actor"
tt57631539,Master at Arms,Master at Arms,1957,30,"Adventure,Western",7.2,10,9,producer,producer,1,21,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt57631819,The Hound,The Hound,1993,44,"Action,Adventure,Crime",7.0,42,6,writer,created by,2,1,Stephen J. Cannell,1941,2010,"writer,producer,actor"
tt57632208,Saga of a Star World,Saga of a Star World,1978,133,"Action,Adventure,Sci-Fi",7.5,637,7,writer,created by,1,1,Glen A. Larson,1937,2014,"writer,producer,music_department"
tt57632593,With This Gown I Thee Wed,With This Gown I Thee Wed,1967,25,Comedy,8.1,34,7,writer,written by,5,9,Joanna Lee,1931,2003,"writer,producer,miscellaneous"
tt57633354,Beauty and the Obese Part 1,Beauty and the Obese Part 1,2003,30,"Action,Animation,Comedy",6.2,46,7,writer,developer,1,1,Stan Lee,1922,2018,"producer,writer,actor"
tt57634121,Peepo on Trial,Peepo on Trial,1978,12,"Action,Adventure,Family",6.1,12,6,writer,written by,1,14,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt57634171,The Looters,The Looters,1960,25,Western,7.9,101,6,writer,written by,3,4,Norman Katkov,1918,2009,"writer,miscellaneous,actor"
tt57634397,All Fall Down Part 2,All Fall Down Part 2,2000,52,"Crime,Drama",8.6,39,7,writer,series deviser,16,70,Geoff McQueen,1947,1994,"writer,miscellaneous"
tt57635273,The Fabulous Fiddle,The Fabulous Fiddle,1960,30,Western,6.0,11,6,writer,creator,1,29,Frank Gruber,1904,1969,"writer,miscellaneous,producer"
tt57637082,Ring of Fire,Ring of Fire,1990,23,"Action,Adventure,Animation",6.9,83,9,writer,series developed by,4,7,David Wise,1955,2020,"writer,miscellaneous,cinematographer"
tt57637916,Gift of Gab,Gift of Gab,2000,24,"Adventure,Animation,Comedy",7.3,41,8,writer,creator,2,29,Stephen Sustarsic,1956,2018,"writer,producer,miscellaneous"
tt57638448,The Man with the Face,The Man with the Face,1979,24,Comedy,6.3,23,6,writer,by,1,4,Eric Chappell,1933,2022,"writer,soundtrack"
tt57638690,The Fourteenth Runner,The Fourteenth Runner,1967,60,"Crime,Drama,Mystery",7.1,61,7,writer,teleplay,1,15,Donn Mullally,1914,1994,"writer,miscellaneous"
tt57639812,The Hickory Dickory Dock Raid,The Hickory Dickory Dock Raid,1968,30,"Action,Adventure,Drama",6.5,26,7,writer,writer,2,23,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt57640673,Love from Felicie,Love from Felicie,1961,50,"Crime,Drama",8.4,27,6,writer,writer,3,6,Giles Cooper,1918,1966,"writer,script_department,miscellaneous"
tt57641046,HawkEye,HawkEye,2015,44,"Action,Crime,Drama",6.8,338,6,writer,based on the short story by,1,3,Philip K. Dick,1928,1982,writer
tt57642804,Edge of the Knife,Edge of the Knife,1959,25,"Action,Crime,Drama",7.5,74,6,writer,written by,2,3,Tony Barrett,1916,1974,"writer,producer,actor"
tt57643665,The Case of the Poisoned Pawn,The Case of the Poisoned Pawn,1973,26,Adventure,7.4,5,10,cinematographer,director of photography,1,21,Frank Watts,1929,1994,"cinematographer,camera_department,assistant_director"
tt57645681,My Friend Charlie,My Friend Charlie,1991,50,"Crime,Drama,Mystery",7.4,28,7,writer,series created by,9,5,Robert Banks Stewart,1931,2016,"writer,miscellaneous,producer"
tt57647047,The Tease,The Tease,1990,22,"Adventure,Family,Romance",7.2,25,6,writer,character,2,4,Johnston McCulley,1883,1958,writer
tt57648100,The Rabbi,The Rabbi,1994,46,"Crime,Drama,Mystery",7.1,41,6,writer,developed for television by,7,18,James Lee Barrett,1929,1989,"writer,miscellaneous,producer"
tt57758174,Badlands,Badlands,1959,25,Western,7.2,8,9,cinematographer,director of photography,1,32,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt57845267,The Golden Noose,The Golden Noose,1980,50,"Crime,Drama,Mystery",4.9,50,7,writer,written by,12,14,George F. Slavin,1916,2001,writer
tt57845738,Papa Carlos,Papa Carlos,1970,30,"Comedy,Fantasy",7.0,21,9,writer,written by,3,21,George F. Slavin,1916,2001,writer
tt57870714,Prime of Life,Prime of Life,1966,60,Western,8.3,152,6,writer,written by,11,32,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt57875629,The Generals Disgrace,The Generals Disgrace,1957,30,"Adventure,Western",6.6,10,6,writer,"book ""The Tempered Blade""",1,32,Monte Barrett,1897,1949,"writer,actor"
tt57909264,The Pearls of Talimeco,The Pearls of Talimeco,1957,26,"Adventure,Western",7.5,13,10,cinematographer,director of photography,2,10,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt57945229,Wall of Crystal,Wall of Crystal,1967,60,"Drama,Sci-Fi,Thriller",7.8,186,7,writer,teleplay by,1,16,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt57948739,Master at Arms,Master at Arms,1957,30,"Adventure,Western",7.2,10,7,writer,story,1,21,David Boehm,1893,1962,writer
tt58000363,The Swordsman,The Swordsman,1956,30,"Adventure,Western",6.5,13,10,cinematographer,director of photography,1,15,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt58106956,The Velvet Trap,The Velvet Trap,1966,60,"Drama,Western",7.8,87,8,writer,creator,2,8,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt58111240,The Last Remains,The Last Remains,1962,30,"Comedy,Crime,Drama",7.2,310,8,cinematographer,director of photography,7,25,Neal Beckner,1906,1972,"cinematographer,camera_department"
tt58128854,Wedding Anniversary,Wedding Anniversary,1954,30,"Comedy,Drama,Family",7.9,13,6,writer,television play,3,1,Jay Sommers,1917,1985,"writer,producer,script_department"
tt58346613,A Fortune for Madame,A Fortune for Madame,1957,26,"Adventure,Western",6.3,9,9,producer,producer,2,7,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt58365475,TNT,TNT,1950,30,"Family,Western",8.0,14,9,cinematographer,director of photography,1,24,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt58486803,The Avenger,The Avenger,1957,30,Western,7.4,14,8,cinematographer,director of photography,1,4,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt58507005,Morgan,Morgan,1970,60,Western,8.1,148,6,writer,written by,15,23,Kay Lenard,1911,1997,writer
tt58518961,The Puma,The Puma,1958,30,"Adventure,Western",5.3,11,6,writer,"book ""The Tempered Blade""",2,38,Monte Barrett,1897,1949,"writer,actor"
tt58551533,Danny Goes on USO Tour,Danny Goes on USO Tour,1956,30,"Comedy,Family",7.3,12,7,producer,producer,3,29,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt58578381,Phantom Procession,Phantom Procession,1963,25,Western,8.2,15,6,writer,writer,11,22,Barry Shipman,1912,1994,"writer,actor,director"
tt58602477,The Bring Em Back Alive Raid,The Bring Em Back Alive Raid,1967,25,"Action,Adventure,Drama",7.1,39,7,writer,written by,1,26,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt58728698,The Eyes of Texas,The Eyes of Texas,1956,30,Western,5.9,14,6,writer,screenplay,1,19,Orville H. Hampton,1917,1997,"writer,miscellaneous,cinematographer"
tt58728980,Uncle Simon,Uncle Simon,1963,25,"Drama,Fantasy,Horror",6.9,1689,8,cinematographer,director of photography,5,8,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt58804160,The Turning Point,The Turning Point,1958,60,Western,7.6,25,7,writer,teleplay,1,3,George F. Slavin,1916,2001,writer
tt58930151,Robin Hood,Robin Hood,1956,30,Western,7.6,185,6,writer,screenplay by,1,17,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt58939596,Hunters Moon,Hunters Moon,1968,60,"Drama,Western",7.7,71,7,writer,creator,4,12,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt59005943,A Passage of Saints,A Passage of Saints,1969,60,"Drama,Western",7.0,70,8,writer,creator,4,20,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt59078350,Everybody Tries to Love a Countess,Everybody Tries to Love a Countess,1969,30,"Comedy,Family",7.2,64,6,writer,created by,5,2,Jay Sommers,1917,1985,"writer,producer,script_department"
tt59107619,Trouble in Tuscarora,Trouble in Tuscarora,1952,30,Western,6.0,7,6,writer,teleplay,2,9,Barry Shipman,1912,1994,"writer,actor,director"
tt59215815,Kick Me,Kick Me,1957,30,Western,8.1,181,6,writer,screenplay by,2,18,Endre Bohem,1901,1990,"miscellaneous,producer,writer"
tt59282022,The Safe Driver,The Safe Driver,1956,30,"Comedy,Drama,Family",8.0,10,8,writer,television play,4,18,Jay Sommers,1917,1985,"writer,producer,script_department"
tt59288105,The Track of the Jackal,The Track of the Jackal,1960,60,Western,8.1,75,7,writer,story,2,2,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt59309440,No Time Like the Past,No Time Like the Past,1963,51,"Drama,Fantasy,Horror",7.4,1569,7,cinematographer,director of photography,4,10,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt59315840,Canuck,Canuck,1957,23,Western,8.4,33,6,writer,teleplay,5,33,Orville H. Hampton,1917,1997,"writer,miscellaneous,cinematographer"
tt59384457,Incident Near Gloomy River,Incident Near Gloomy River,1961,52,Western,7.9,80,6,writer,written by,3,19,John Dunkel,1915,2001,writer
tt59479067,Bird in the Hand,Bird in the Hand,1962,52,"Action,Crime,Drama",7.4,45,10,cinematographer,director of photography,4,6,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt59508064,Fury Canyon,Fury Canyon,1957,30,Adventure,8.6,8,8,writer,writer,1,30,Barry Shipman,1912,1994,"writer,actor,director"
tt59514741,A Broken Match,A Broken Match,1954,23,Western,8.3,37,9,cinematographer,director of photography,4,13,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt59609356,Episode 110685,Episode 110685,2004,36,"Crime,Drama,Romance",8.1,17,7,writer,creator,1,10685,Frank Hursley,1902,1989,"writer,producer"
tt59668596,The Empty Shell,The Empty Shell,1961,30,Western,7.2,17,6,writer,story,5,24,Paul Franklin,1899,1980,writer
tt59703420,Rogue Stallion,Rogue Stallion,1955,30,"Adventure,Western",6.0,10,6,writer,teleplay,1,9,Kay Lenard,1911,1997,writer
tt59731551,The Gangs All Here,The Gangs All Here,1973,52,"Action,Crime,Drama",6.5,97,9,writer,teleplay,7,5,Albert Beich,1919,1996,"writer,producer"
tt59742973,The Man Who Didnt Want Gold,The Man Who Didnt Want Gold,1967,25,Western,7.7,22,8,cinematographer,director of photography,15,16,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt59899955,The Beggar of New Orleans,The Beggar of New Orleans,1957,30,"Adventure,Western",7.0,9,7,writer,writer,1,19,Endre Bohem,1901,1990,"miscellaneous,producer,writer"
tt59963712,Mr Valejo,Mr Valejo,1958,30,Western,7.0,7,9,cinematographer,director of photography,1,18,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt59975746,Good Old Uncle Ben,Good Old Uncle Ben,1978,60,"Action,Crime,Drama",6.6,16,7,writer,written by,4,22,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt60011684,Oliver Goes Broke,Oliver Goes Broke,1970,30,"Comedy,Family",8.0,54,6,writer,created by,6,5,Jay Sommers,1917,1985,"writer,producer,script_department"
tt60082626,The Copperhead,The Copperhead,1974,30,"Crime,Drama",9.1,16,6,writer,written by,1,8,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt60161717,Tanoa,Tanoa,1961,60,Western,8.0,20,7,writer,teleplay,6,5,Jess Carneol,1907,1984,writer
tt60225994,Little Visitor,Little Visitor,1955,30,"Adventure,Western",5.1,10,8,writer,story,1,14,Harold Shumate,1893,1983,"writer,producer,miscellaneous"
tt60343660,Jacksons Assassination,Jacksons Assassination,1957,26,"Adventure,Western",6.3,14,10,producer,producer,1,28,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt60352446,Diamond in the Rough,Diamond in the Rough,1953,23,Western,7.0,31,9,cinematographer,director of photography,3,51,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt60372050,Palms of Glory,Palms of Glory,1965,60,"Drama,Western",8.4,217,8,writer,creator,1,1,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt60386345,The Lottery,The Lottery,1980,48,"Action,Adventure,Drama",7.0,138,9,writer,story,3,17,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt60422727,Shock,Shock,1961,30,Drama,7.4,29,7,producer,producer,1,22,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt60453976,Texas Fever,Texas Fever,1965,60,Western,7.9,51,6,writer,writer,7,18,John Dunkel,1915,2001,writer
tt60460679,Captives of the Zero Hour,Captives of the Zero Hour,1955,30,"Action,Adventure,Sci-Fi",6.0,10,6,writer,written by,1,12,Ronald Davidson,1899,1965,"writer,producer,actor"
tt60473385,The Blue Spy,The Blue Spy,1961,51,Western,7.9,76,9,producer,producer,4,10,Endre Bohem,1901,1990,"miscellaneous,producer,writer"
tt60493690,Eyes of the Lion,Eyes of the Lion,1966,30,"Action,Adventure",7.2,38,6,writer,writer,1,1,George F. Slavin,1916,2001,writer
tt60502662,A Girl Named George,A Girl Named George,1968,60,Western,7.6,90,7,writer,written by,9,16,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt60512540,Monsieur Francois,Monsieur Francois,1956,30,"Adventure,Western",6.8,14,7,writer,writer,1,17,Robert Warnes Leach,1914,2008,"miscellaneous,writer,script_department"
tt60516349,The Mans Men,The Mans Men,1965,60,"Action,Adventure,Crime",7.2,14,6,writer,written by,3,12,Albert Beich,1919,1996,"writer,producer"
tt60581533,Like Father Like Son,Like Father Like Son,1957,30,"Comedy,Drama,Family",7.3,14,6,writer,television play,5,18,Jay Sommers,1917,1985,"writer,producer,script_department"
tt60587168,Grave of the Monsters,Grave of the Monsters,1955,30,Western,5.8,11,6,writer,teleplay,1,16,Orville H. Hampton,1917,1997,"writer,miscellaneous,cinematographer"
tt60664702,The Western Way,The Western Way,1952,30,"Family,Western",7.7,8,9,cinematographer,director of photography,2,18,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt60698979,Death in the Forest,Death in the Forest,1953,23,Western,8.0,38,10,cinematographer,director of photography,3,39,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt60709765,Hangtown,Hangtown,1958,30,Western,7.0,8,6,writer,teleplay by,2,8,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt60735368,Counterfeit Dixie,Counterfeit Dixie,1957,26,"Adventure,Western",6.9,11,8,writer,writer,2,4,Tom Kilpatrick,1898,1962,writer
tt60800062,Sighting 4021 The Superstition Mountain Incident,Sighting 4021 The Superstition Mountain Incident,1978,60,Sci-Fi,7.4,8,8,writer,teleplay,2,9,George F. Slavin,1916,2001,writer
tt60884630,Under a Dark Star,Under a Dark Star,1966,60,"Drama,Western",8.2,104,8,writer,creator,1,20,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt60903467,Jim Bowie and His Slave,Jim Bowie and His Slave,1956,30,"Adventure,Western",7.2,14,6,writer,"book ""The Tempered Blade""",1,13,Monte Barrett,1897,1949,"writer,actor"
tt60924063,The Bridegroom,The Bridegroom,1957,30,"Adventure,Western",6.2,11,6,writer,"book ""The Tempered Blade""",2,13,Monte Barrett,1897,1949,"writer,actor"
tt60928478,Devils Masquerade,Devils Masquerade,1968,60,"Drama,Western",8.0,79,7,writer,creator,3,24,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt60970330,The Whitey Steele Story,The Whitey Steele Story,1962,52,"Action,Crime,Drama",7.8,54,10,cinematographer,director of photography,3,15,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt60992517,The Bridegroom,The Bridegroom,1957,30,"Adventure,Western",6.2,11,7,writer,teleplay,2,13,Tom Reed,1901,1961,"writer,actor,producer"
tt61111203,Armored Car,Armored Car,1959,30,"Crime,Drama,Western",7.0,12,8,cinematographer,director of photography,1,26,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt61117691,Hare and Tortoise,Hare and Tortoise,1957,30,"Adventure,Western",6.2,11,10,cinematographer,director of photography,2,12,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt61145298,Quicksilver,Quicksilver,1957,60,Western,8.0,7,7,writer,teleplay,1,6,Jess Carneol,1907,1984,writer
tt61146762,The Kingfish Gets Amnesia,The Kingfish Gets Amnesia,1955,30,Comedy,7.9,17,8,writer,written by,4,6,Jay Sommers,1917,1985,"writer,producer,script_department"
tt61186288,The Case of the Jilted Jockey,The Case of the Jilted Jockey,1958,52,"Crime,Drama,Mystery",7.8,297,7,writer,story by,2,8,Robert Warnes Leach,1914,2008,"miscellaneous,writer,script_department"
tt61337671,A Borderline Story,A Borderline Story,1965,26,Comedy,8.0,29,7,writer,written by,2,23,Jay Sommers,1917,1985,"writer,producer,script_department"
tt61377540,A Friend in Deed,A Friend in Deed,1969,60,"Action,Adventure,Crime",7.5,31,9,cinematographer,director of photography,3,10,Richard Batcheller,1920,1970,"cinematographer,camera_department"
tt61397058,Spanish Intrigue,Spanish Intrigue,1957,30,"Adventure,Western",5.8,9,7,writer,writer,1,23,Everett DeBaum,1908,1977,"writer,actor"
tt61408224,The TooPerfect Signature,The TooPerfect Signature,1955,23,Western,8.9,36,9,cinematographer,director of photography,4,30,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt61417225,The Irishman,The Irishman,1957,26,"Adventure,Western",6.5,10,8,producer,producer,2,3,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt61604760,Eb Discovers the Birds and the Bees,Eb Discovers the Birds and the Bees,1966,26,"Comedy,Family",7.8,97,6,writer,created by,2,8,Jay Sommers,1917,1985,"writer,producer,script_department"
tt61637444,An Apple a Day,An Apple a Day,1965,50,"Adventure,Crime,Drama",7.7,123,6,writer,written by,3,8,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt61652032,Episode 114087,Episode 114087,2018,36,"Crime,Drama,Romance",9.3,9,8,writer,created by,1,14087,Doris Hursley,1898,1984,"writer,producer"
tt61707658,The Return of the Alcibiade,The Return of the Alcibiade,1956,30,"Adventure,Western",6.6,13,8,writer,writer,1,16,Margaret Fitts,1923,2011,writer
tt61813387,Gratitude,Gratitude,1961,30,"Comedy,Crime,Drama",6.4,312,9,cinematographer,director of photography,6,28,Neal Beckner,1906,1972,"cinematographer,camera_department"
tt61847277,Bundle of Joy,Bundle of Joy,1970,30,"Comedy,Family",8.0,60,6,writer,created by,5,17,Jay Sommers,1917,1985,"writer,producer,script_department"
tt61855652,Hour After Dawn,Hour After Dawn,1960,60,Western,8.4,77,6,writer,story,1,26,John Dunkel,1915,2001,writer
tt61894833,Right to Vote,Right to Vote,1953,23,Western,7.8,29,9,cinematographer,director of photography,3,23,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt61906101,The Beggar of New Orleans,The Beggar of New Orleans,1957,30,"Adventure,Western",7.0,9,9,producer,producer,1,19,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt61942804,Escort to Doom,Escort to Doom,1965,60,Western,7.2,60,10,cinematographer,director of photography,8,5,Neal Beckner,1906,1972,"cinematographer,camera_department"
tt61977695,The Norman Conover Story,The Norman Conover Story,1958,30,Drama,7.0,8,10,cinematographer,director of photography,5,2,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt62011645,Why I Blew Up Dakota,Why I Blew Up Dakota,1970,73,"Adventure,Sci-Fi",7.5,16,9,cinematographer,director of photography,3,12,Charles Straumer,1905,1980,"cinematographer,camera_department"
tt62014904,Dear Charlie,Dear Charlie,1961,30,Drama,7.6,26,7,producer,producer,1,16,William H. Wright,1902,1980,"producer,writer,miscellaneous"
tt62094971,Son by Adoption,Son by Adoption,1953,23,Western,7.8,32,10,cinematographer,director of photography,3,28,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt62186820,Jealousy English Style,Jealousy English Style,1967,30,"Comedy,Family",7.6,75,6,writer,created by,3,12,Jay Sommers,1917,1985,"writer,producer,script_department"
tt62201741,Trouble at Silver Creek,Trouble at Silver Creek,1952,30,"Family,Western",7.5,7,9,cinematographer,director of photography,2,23,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
tt62214888,Second Cousin to the Czar,Second Cousin to the Czar,1960,30,Western,7.1,13,7,writer,written by,2,13,Jess Carneol,1907,1984,writer
tt62255337,Rampage,Rampage,1957,30,Adventure,8.3,10,8,cinematographer,director of photography,1,2,Nicholas Musuraca,1892,1975,"cinematographer,camera_department,art_department"
tt62454317,The Search for Lucy Manning,The Search for Lucy Manning,1957,30,Western,7.5,14,10,cinematographer,director of photography,1,5,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt62459683,The Convict,The Convict,1965,60,"Action,Drama,War",8.4,65,7,writer,written by,3,22,Jess Carneol,1907,1984,writer
tt62536894,Grandmas Money,Grandmas Money,1962,51,Western,7.6,71,9,producer,producer,4,20,Endre Bohem,1901,1990,"miscellaneous,producer,writer"
tt62537409,A Ball of Tinfoil,A Ball of Tinfoil,1955,30,"Comedy,Drama,Family",7.2,29,10,cinematographer,director of photography,4,9,Neal Beckner,1906,1972,"cinematographer,camera_department"
tt62659207,The Lady and the LonghornVampire,The Lady and the LonghornVampire,1978,60,"Adventure,Family,Fantasy",6.6,74,7,writer,story,2,13,Daniel B. Ullman,1918,1979,"writer,producer,miscellaneous"
tt62685682,A Passage of Saints,A Passage of Saints,1969,60,"Drama,Western",7.0,70,7,writer,written by,4,20,John Dunkel,1915,2001,writer
tt62701958,A Good Deed,A Good Deed,1955,30,"Adventure,Western",4.6,10,7,writer,teleplay,1,4,Kay Lenard,1911,1997,writer
tt62826445,The Great Invasion Part 2,The Great Invasion Part 2,1966,60,Western,7.4,14,10,cinematographer,director of photography,1,16,Richard Batcheller,1920,1970,"cinematographer,camera_department"
tt62930797,Wonderland,Wonderland,1953,30,"Comedy,Family",6.7,13,8,producer,producer,1,12,Louis F. Edelman,1900,1976,"producer,writer,miscellaneous"
tt62937152,The Big U,The Big U,1957,30,Adventure,8.2,15,8,cinematographer,director of photography,1,1,Nicholas Musuraca,1892,1975,"cinematographer,camera_department,art_department"
tt62954452,The Silver Arrow,The Silver Arrow,1950,30,"Family,Western",7.9,19,7,cinematographer,director of photography,1,3,William Bradford,1905,1959,"cinematographer,camera_department,special_effects"
